##############################################################
#This file is generated from NEF dictionary from Github
# NEF github commit d4c8fac3641f3f7993e75cfe6067540e8df4cd30
# Generated date Dec 20, 2017
# This is used to validate NEF file
# Author : Kumaran Baskaran(BMRB)
##############################################################
# 10-Mar-2020  M. Yokochi - add support for _audit loop in NEF (DAOTHER-6327)
#Saveframe categories
nef_nmr_meta_data,yes
nef_related_entries,no
nef_program_script,no
nef_run_history,no
nef_molecular_system,yes
nef_sequence,yes
nef_covalent_links,no
nef_chemical_shift_list,yes
nef_chemical_shift,yes
nef_distance_restraint_list,no
nef_distance_restraint,no
nef_dihedral_restraint_list,no
nef_dihedral_restraint,no
nef_rdc_restraint_list,no
nef_rdc_restraint,no
nef_nmr_spectrum,no
nef_spectrum_dimension,yes
nef_spectrum_dimension_transfer,yes
nef_peak,no
nef_peak_restraint_links,no
nef_peak_restraint_link,no
audit,no
#Tags
_nef_nmr_meta_data.sf_category,yes
_nef_nmr_meta_data.sf_framecode,yes
_nef_nmr_meta_data.format_name,yes
_nef_nmr_meta_data.format_version,yes
_nef_nmr_meta_data.program_name,yes
_nef_nmr_meta_data.program_version,yes
_nef_nmr_meta_data.creation_date,yes
_nef_nmr_meta_data.uuid,yes
_nef_nmr_meta_data.coordinate_file_name,no
_nef_related_entries.database_name,yes
_nef_related_entries.database_accession_code,yes
_nef_program_script.program_name,yes
_nef_program_script.script_name,no
_nef_program_script.script,no
_nef_run_history.run_number,yes
_nef_run_history.program_name,yes
_nef_run_history.program_version,no
_nef_run_history.script_name,no
_nef_run_history.script,no
_nef_molecular_system.sf_category,yes
_nef_molecular_system.sf_framecode,yes
_nef_sequence.index,yes
_nef_sequence.chain_code,yes
_nef_sequence.sequence_code,yes
_nef_sequence.residue_name,yes
_nef_sequence.linking,no
_nef_sequence.residue_variant,no
_nef_sequence.cis_peptide,no
_nef_covalent_links.chain_code_1,yes
_nef_covalent_links.sequence_code_1,yes
_nef_covalent_links.residue_name_1,yes
_nef_covalent_links.atom_name_1,yes
_nef_covalent_links.chain_code_2,yes
_nef_covalent_links.sequence_code_2,yes
_nef_covalent_links.residue_name_2,yes
_nef_covalent_links.atom_name_2,yes
_nef_chemical_shift_list.sf_category,yes
_nef_chemical_shift_list.sf_framecode,yes
_nef_chemical_shift.chain_code,yes
_nef_chemical_shift.sequence_code,yes
_nef_chemical_shift.residue_name,yes
_nef_chemical_shift.atom_name,yes
_nef_chemical_shift.value,yes
_nef_chemical_shift.value_uncertainty,no
_nef_chemical_shift.element,no
_nef_chemical_shift.isotope_number,no
_nef_distance_restraint_list.sf_category,yes
_nef_distance_restraint_list.sf_framecode,yes
_nef_distance_restraint_list.potential_type,yes
_nef_distance_restraint_list.restraint_origin,no
_nef_distance_restraint.index,yes
_nef_distance_restraint.restraint_id,yes
_nef_distance_restraint.restraint_combination_id,no
_nef_distance_restraint.chain_code_1,yes
_nef_distance_restraint.sequence_code_1,yes
_nef_distance_restraint.residue_name_1,yes
_nef_distance_restraint.atom_name_1,yes
_nef_distance_restraint.chain_code_2,yes
_nef_distance_restraint.sequence_code_2,yes
_nef_distance_restraint.residue_name_2,yes
_nef_distance_restraint.atom_name_2,yes
_nef_distance_restraint.weight,yes
_nef_distance_restraint.target_value,no
_nef_distance_restraint.target_value_uncertainty,no
_nef_distance_restraint.lower_linear_limit,no
_nef_distance_restraint.lower_limit,no
_nef_distance_restraint.upper_limit,no
_nef_distance_restraint.upper_linear_limit,no
_nef_dihedral_restraint_list.sf_category,yes
_nef_dihedral_restraint_list.sf_framecode,yes
